0.001	32540.3400272	-8994.68770488	129633.516484	-67881.7204236	-218358.928021	-970924.317536	-1190829.21872	-513182.342284	-3924266.65238	2122487.06034	2561236.83869	1683119.56806	2441832.4061	6664564.72708	-1881329.16577	-4459239.44082
0.00112332403298	32554.9595196	-9000.22259533	129780.612914	-68003.782373	-218758.891085	-971120.536409	-1191289.70833	-512971.096664	-3924533.83708	2123238.59682	2554632.03077	1674865.4027	2455869.0622	6659156.14577	-1886828.51531	-4446179.35018
0.00126185688307	32571.3913361	-9006.4449418	129945.855632	-68141.117721	-219208.388773	-971340.740539	-1191806.85661	-512733.577614	-3924832.7325	2124083.10628	2547160.43228	1665704.14716	2471591.006	6653029.94544	-1892907.73809	-4431571.58351
0.00141747416293	32589.861424	-9013.4407991	130131.483525	-68295.6678436	-219713.584331	-971587.831759	-1192387.6165	-512466.487117	-3925166.92732	2125032.12865	2538703.67333	1655552.65563	2489193.79252	6646085.13819	-1899614.5097	-4415242.22249
0.00159228279334	32610.6242291	-9021.30716833	130340.011647	-68469.6287228	-220281.415148	-971865.054947	-1193039.78929	-512166.105359	-3925540.36952	2126098.64556	2529126.66056	1644324.87537	2508893.77047	6638205.33013	-1906996.91418	-4397000.48536
0.00178864952906	32633.9663743	-9030.15343407	130574.265206	-68665.4863443	-220919.691836	-972176.03641	-1193772.1268	-511828.234806	-3925957.38933	2127297.26274	2518275.29861	1631933.315	2530929.74152	6629256.18061	-1915102.36674	-4376637.88368
0.00200923300257	32660.2108327	-9040.1030017	130837.417683	-68886.0575144	-221637.210433	-972524.825944	-1194594.44561	-511448.136361	-3926422.71965	2128644.41584	2505974.00021	1618291.11914	2555564.57812	6619082.43436	-1923976.22539	-4353927.60061
0.00225701971963	32689.7216683	-9051.29516541	131133.033574	-69134.5370457	-222443.879587	-972915.942751	-1195517.75441	-511020.456396	-3926941.51211	2130158.60296	2492023.02052	1603314.90753	2583086.72977	6607504.46622	-1933660.04895	-4328624.19683
0.00253536449397	32722.9094266	-9063.88724287	131465.116267	-69414.5524494	-223350.86483	-973354.425333	-1196554.39608	-510539.143183	-3927519.34685	2131860.64736	2476195.68433	1586928.56379	2613811.52308	6594314.27661	-1944189.46669	-4300463.77916
0.00284803586844	32760.2372718	-9078.05701905	131838.161627	-69730.2275071	-224370.752411	-973845.885386	-1197718.20598	-509997.351032	-3928162.23292	2133773.99435	2458235.62166	1569068.18505	2648082.13138	6579270.87989	-1955591.64052	-4269164.79849
0.0031992671378	32802.227983	-9094.00554915	132257.217909	-70086.2563844	-225517.735492	-974396.565609	-1199024.68802	-509387.330106	-3928876.5958	2135925.04694	2437854.19183	1549688.42438	2686270.05344	6562095.03801	-1967882.32747	-4234429.67922
0.0035938136638	32849.4719403	-9111.96038011	132727.952614	-70487.9903002	-226807.826009	-975013.401171	-1200491.21026	-508700.299525	-3929669.24726	2138343.54524	2414728.36141	1528770.46722	2728774.89961	6542463.31409	-1981062.59211	-4195947.5175
0.0040370172586	32902.636254	-9132.17926145	133256.72697	-70941.5392083	-228259.095959	-975704.084322	-1202137.22191	-507926.300906	-3930547.33158	2141062.9955	2388499.41018	1506331.87194	2776023.23741	6520001.45757	-1995115.27913	-4153398.1178
0.00453487850813	32962.4752166	-9154.95442972	133850.678659	-71453.8914863	-229891.952495	-976477.131343	-1203984.49353	-507054.028979	-3931518.24071	2144121.15509	2358772.97272	1482438.46002	2828466.20239	6494277.19248	-2010001.43993	-4106457.65965
0.00509413801482	33029.8422871	-9180.61756777	134517.813394	-72033.0552993	-231729.451902	-977341.950554	-1206057.38227	-506070.635218	-3932589.48866	2147560.58042	2325121.07633	1457218.34705	2886575.53815	6464792.56824	-2025657.01553	-4054806.29
0.00572236765935	33105.7038556	-9209.54556047	135267.105815	-72688.2261369	-233797.658286	-978308.909542	-1208383.12409	-504961.499711	-3933768.53376	2151429.2458	2287086.99919	1430878.04233	2950837.705	6430976.15742	-2041990.21139	-3998137.91021
0.00642807311728	33191.1550772	-9242.16719336	136108.609958	-73429.9860495	-236126.053729	-979389.398976	-1210992.15452	-503709.965502	-3935062.53392	2155781.24145	2244193.92349	1403720.28972	3021745.70502	6392175.55247	-2058880.15352	-3936172.35608
0.00722080901839	33287.4381179	-9278.97097206	137053.579196	-74270.5413811	-238748.007644	-980595.889351	-1213918.45941	-502297.028568	-3936478.01734	2160677.5595	2195958.46023	1376162.95984	3099788.33784	6347650.82559	-2076177.57667	-3868670.04041
0.0081113083079	33395.9632133	-9320.51427779	138114.594971	-75224.0073643	-241701.314174	-981941.975667	-1217199.95669	-500700.975222	-3938020.44706	2166186.97741	2141910.12294	1348757.82374	3185436.7606	6296569.86771	-2093708.44434	-3795448.92839
0.00911162756115	33518.333014	-9367.43412211	139305.702738	-76306.749864	-245028.807685	-983442.403287	-1220878.90924	-498896.95719	-3939693.6534	2172387.04741	2081617.65266	1322207.4582	3279128.51845	6238006.79124	-2111281.50635	-3716403.44317
0.010235310219	33656.370773	-9420.45982203	140642.552214	-77537.7969055	-248779.067594	-985113.065967	-1225002.36848	-496856.492712	-3941499.10345	2179365.20044	2014722.66682	1297377.90288	3381249.68447	6170944.82334	-2128700.82456	-3631524.5641
0.011497569954	33812.1530304	-9480.42798992	142142.536983	-78939.3354506	-253007.225019	-986970.964141	-1229622.64617	-494546.879901	-3943434.97138	2187219.97092	1940980.33917	1275304.11635	3492116.44008	6094285.25465	-2145784.20132	-3540920.01548
